Theor.Mass,S_4,I_4,D_4,S_9,I_9,D_9,S_10,I_10,D_10,S_12A,I_12A,D_12A,S_12B,I_12B,D_12B
Label,Spring,Spring,Spring,Summer,Summer,Summer,Autumn,Autumn,Autumn,Winter,Winter,Winter,Winter,Winter,Winter
195.0804414,0,0,0,46180,37080,42050,21270,46450,47610,15360,37790,36060,23210,34270,40010
195.087652,36670,23770,22780,0,0,0,0,0,0,0,0,0,0,0,0
195.1005388,0,0,0,0,0,0,16930,0,0,0,0,0,0,0,0
195.1015708,0,0,0,35250,0,18480,0,16770,16630,10680,18230,11500,14810,13350,15850
196.0426757,11890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196.0460465,0,16470,0,0,0,0,0,0,0,0,0,0,0,0,0
196.0481689,0,0,13080,0,0,0,0,0,0,0,0,0,0,0,0
196.0572799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196.0716676,0,0,11080,0,0,0,0,0,0,0,0,0,0,0,0
196.0756904,0,0,0,0,0,0,0,0,0,0,10890,0,0,0,0
196.0790612,0,18940,0,0,0,0,0,0,0,0,0,0,0,0,0
196.0885772,0,0,0,0,0,0,0,0,0,0,0,33190,0,0,0
196.091948,0,0,0,0,23260,0,0,0,0,0,25390,0,0,16220,0
196.092797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25400
196.0968197,0,0,0,0,0,0,0,12110,0,0,0,0,0,0,0
197.0305311,0,17720,0,0,0,0,0,0,0,0,0,0,0,0,0
197.0321845,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0
197.0444498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197.049158,0,0,12710,0,0,0,0,0,0,0,0,0,0,0,0
197.0597059,0,0,0,17900,14180,14590,0,15990,15140,0,14290,12380,0,12450,16920
197.0620448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197.0669166,22680,15900,21130,0,0,0,0,0,0,0,0,0,0,0,0
197.0798034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197.0808353,0,0,0,16730,0,0,0,0,0,0,0,0,0,0,0
197.0842061,0,0,23020,0,0,0,0,0,0,0,0,0,0,0,0
197.0960915,0,0,0,42330,40710,43700,25120,47060,54840,12380,44300,44310,27910,40910,46900
197.1019647,13160,10180,0,0,0,0,0,0,0,0,0,0,0,0,0
197.1172208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.0430696,11230,14050,0,0,0,0,0,0,0,0,0,0,0,0,0
198.0608281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.063819,0,10110,11730,0,0,0,0,0,0,0,0,0,0,0,0
198.0661883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16440
198.0695591,0,0,0,10610,0,0,0,0,11360,0,0,0,0,0,0
198.0794551,10210,11870,0,0,0,0,0,0,0,0,0,0,0,0,0
198.0913404,0,0,0,0,0,0,0,0,0,0,0,14450,0,0,0
198.0947112,0,0,0,19010,16370,18360,13560,21980,0,0,0,0,0,16810,0
198.0972137,0,0,0,0,0,0,0,0,0,0,24820,0,0,0,23150
199.0270852,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.0413094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.0448437,11490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.0461811,0,0,12120,0,0,0,0,0,0,0,0,0,0,0,0
199.0560771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.0614373,0,22680,0,0,0,0,0,0,0,0,0,0,0,0,0
199.075356,0,0,0,41580,0,36410,23510,41360,44050,11850,33080,31170,22050,31560,35210
199.0812292,16930,17760,0,0,0,0,0,0,0,0,0,0,0,0,0
199.1117415,0,0,0,50640,43190,45090,30590,49930,53830,0,46560,46440,32340,43100,47550
200.0454529,0,0,12360,0,0,0,0,0,0,0,0,0,0,0,0
200.0471063,14920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.0553488,0,0,11730,0,0,0,0,0,0,0,0,0,0,0,0
200.0665822,0,0,0,28300,0,0,18870,0,0,0,0,0,0,0,0
200.0682356,0,0,0,0,0,0,0,0,0,0,0,0,18090,0,0
200.0947252,12640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.1103613,0,0,0,18150,0,19950,0,18020,20960,0,17530,17990,11350,0,17180
200.2008909,0,0,0,15710,10410,21030,0,18790,25290,0,12730,15330,0,12620,14510
201.0393644,0,19650,0,0,0,0,0,0,0,0,0,0,0,0,0
201.0407018,23920,0,15880,0,0,0,0,0,0,0,0,0,0,0,0
201.0546206,0,0,0,23500,0,0,14690,0,16290,0,0,15920,18190,16910,16430
201.0604938,15070,0,15700,0,0,0,0,0,0,0,0,0,0,0,0
201.0717272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.0770873,0,0,30210,0,0,0,0,0,0,0,0,0,0,0,0
201.0910061,0,0,0,54930,0,49610,35900,55100,58090,0,50600,0,0,0,51310
201.1273916,0,0,0,37450,0,32990,25180,35420,0,0,31400,30230,24190,30200,0
202.041627,0,13130,0,0,0,0,0,0,0,0,0,0,0,0,0
202.0557428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.0644737,39900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.1103752,17050,15220,16230,0,0,0,0,0,0,0,0,0,0,0,0
202.1226406,0,0,0,0,0,0,0,16400,0,0,0,0,0,0,0
202.1260114,0,0,0,20600,16080,0,0,0,0,0,0,0,0,17750,19610
203.018629,15120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0199664,0,12270,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0338851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0372559,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0550145,0,23290,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0563519,38750,0,24060,0,0,0,0,0,0,0,0,0,0,0,0
203.0692387,0,0,0,0,0,0,0,0,28940,0,0,0,26360,0,25500
203.0702706,0,0,0,40530,29930,31250,0,0,0,14780,29160,0,0,31550,0
203.0774813,0,0,0,0,0,0,51810,0,0,0,0,0,0,0,0
203.0831574,0,0,0,0,0,0,0,43060,0,13670,0,0,0,32800,38990
203.0848748,0,0,0,0,0,0,0,0,44180,0,0,0,22280,0,0
203.0927374,0,0,32150,0,0,0,0,0,0,0,0,0,0,0,0
203.1066561,0,0,0,0,0,54850,36110,56740,57260,0,0,0,32940,44190,54950
203.1430416,0,0,0,0,0,17610,14220,18290,0,0,0,14330,15410,13040,0
