Label,Spring,Spring,Spring,Summer,Summer,Summer,Autumn,Autumn,Autumn,Winter,Winter,Winter,Winter,Winter,Winter
179.0842546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.085972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.1037305,28720,22200,19280,0,0,0,0,0,0,0,0,0,0,0,0
179.1067214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.1077533,0,0,0,15540,0,0,14140,10160,0,14010,12020,0,13920,11100,10410
180.0583742,14150,15220,16730,0,0,0,0,0,0,0,0,0,0,0,0
181.0102241,20940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.0142468,0,0,0,14110,0,0,11350,0,0,11430,0,0,11600,0,0
181.0466096,34110,24070,19040,0,0,0,0,0,0,0,0,0,0,0,0
181.0496004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.0506323,0,0,0,15190,0,0,11070,0,0,11410,0,0,12120,0,0
181.0635191,14560,17990,18740,0,0,0,0,0,0,0,0,0,0,0,0
181.0658885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.0829951,31280,24600,23130,0,0,0,0,0,0,0,0,0,0,0,0
181.0859859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.0870179,0,0,0,16500,0,0,0,0,0,0,0,0,13950,10590,0
181.1234034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.0359853,13690,11470,10360,0,0,0,0,0,0,0,0,0,0,0,0
182.0740243,0,16010,16770,0,0,0,0,0,0,0,0,0,0,0,0
